36024_at,lacrimal proline rich protein
33890_at,regulator of G-protein signalling 5
41642_at,Cluster Incl X75940:H.sapiens beta glucuronidase pseudogene /cds=UNKNOWN /gb=X75940 /gi=1052700 /ug=Hs.119643 /len=1010
329_s_at," Nuclear Mitotic Apparatus Protein 1, Alt. Splice Form 2 "
38724_at,KIAA0515 protein
37947_at,bromodomain-containing 3
36224_g_at," Cluster Incl AI827895:wf12b02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2350347 /clone_end=3'' /gb=AI827895 /gi=5448566 /ug=Hs.238747 /len=649'' "
36571_at,topoisomerase (DNA) II beta (180kD)
38357_at,Cluster Incl AL049321:Homo sapiens mRNA; cDNA DKFZp564D156 (from clone DKFZp564D156) /cds=UNKNOWN /gb=AL049321 /gi=4500094 /ug=Hs.9927 /len=1440
41283_at,Cluster Incl AF052131:Homo sapiens clone 23930 mRNA sequence /cds=UNKNOWN /gb=AF052131 /gi=3360440 /ug=Hs.234670 /len=1240
34397_at,acid-inducible phosphoprotein
38050_at,KIAA0164 gene product
39131_at," Cluster Incl N36842:yy35g03.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-273268 /clone_end=3'' /gb=N36842 /gi=1157984 /ug=Hs.9456 /len=685'' "
35809_g_at," Cluster Incl AL031681:dJ862K6.2.2 (splicing factor, arginine/serine-rich 6 (SRP55-2)(isoform 2)) /cds=(106,513) /gb=AL031681 /gi=4775633 /ug=Hs.6891 /len=3951 "
35808_at," Cluster Incl AL031681:dJ862K6.2.2 (splicing factor, arginine/serine-rich 6 (SRP55-2)(isoform 2)) /cds=(106,513) /gb=AL031681 /gi=4775633 /ug=Hs.6891 /len=3951 "
35363_at,Cluster Incl AL080113:Homo sapiens mRNA; cDNA DKFZp586K2322 (from clone DKFZp586K2322) /cds=UNKNOWN /gb=AL080113 /gi=5262540 /ug=Hs.6179 /len=1665
35302_at,nuclear RNA export factor 1
37915_at,"bromodomain adjacent to zinc finger domain, 2B"
32218_at,Cluster Incl AF034176:AF034176 Homo sapiens cDNA /clone=ntcon5-contig /gb=AF034176 /gi=2707738 /ug=Hs.188882 /len=7232
32253_at,arginine-glutamic acid dipeptide (RE) repeats
39163_at,Cluster Incl W27233:24b7 Homo sapiens cDNA /gb=W27233 /gi=1306749 /ug=Hs.9873 /len=677
32119_at,Cluster Incl AL049423:Homo sapiens mRNA; cDNA DKFZp586B211 (from clone DKFZp586B211) /cds=UNKNOWN /gb=AL049423 /gi=4500204 /ug=Hs.16193 /len=1746
38990_at," Cluster Incl AL031178:Human DNA sequence from clone 341E18 on chromosome 6p11.2-12.3. Contains a Serine/Threonine Protein Kinase gene (presumptive isolog of a Rat gene) and a novel alternatively spliced gene. Contains a putative CpG island, ESTs and GSSs "
40219_at," Cluster Incl AI796944:we25b03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2342093 /clone_end=3'' /gb=AI796944 /gi=5362416 /ug=Hs.15299 /len=547'' "
36192_at,KIAA0193 gene product
37670_at,annexin A7
36146_at,ornithine decarboxylase antizyme 2
41385_at,differentially expressed in adenocarcinoma of the lung
39255_at,protein C (inactivator of coagulation factors Va and VIIIa)
35345_at,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)
41629_at,transmembrane 4 superfamily member 4
32771_at,group-specific component (vitamin D binding protein)
37125_f_at,"cytochrome P450, subfamily IIIA (niphedipine oxidase), polypeptide 5"
37530_s_at,reelin
40415_at,acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)
36417_s_at," Cluster Incl AF035295:Homo sapiens clone 23623 mRNA, partial cds /cds=(0,399) /gb=AF035295 /gi=2661050 /ug=Hs.166160 /len=1669 "
34347_at,DKFZP564J0123 protein
41136_s_at,"amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)"
1134_at,activated p21cdc42Hs kinase
40235_at,activated p21cdc42Hs kinase
39787_at,phosphatidylethanolamine N-methyltransferase
39638_at,transcription factor AP-4 (activating enhancer-binding protein 4)
657_at,"protocadherin gamma subfamily C, 3"
36668_at,diaphorase (NADH) (cytochrome b-5 reductase)
35337_at,F-box only protein 7
37367_at,"ATPase, H+ transporting, lysosomal (vacuolar proton pump) 31kD"
936_s_at,Protein Phosphatase Inhibitor Homolog
32648_at,delta-like homolog (Drosophila)
38408_at,transmembrane 4 superfamily member 2
40395_at,plexin A2
40649_at,proprotein convertase subtilisin/kexin type 1
41424_at,paraoxonase 3
39561_at,neuronal pentraxin receptor
39326_at,"ATPase, H+ transporting, lysosomal (vacuolar proton pump) non-catalytic accessory protein 1A (110/116kD)"
40568_at," Cluster Incl L35249:Homo sapiens vacuolar H+-ATPase Mr 56,000 subunit (HO57) mRNA, complete cds /cds=(3,1538) /gb=L35249 /gi=522192 /ug=Hs.1697 /len=2820 "
35770_at,"ATPase, H+ transporting, lysosomal (vacuolar proton pump), subunit 1"
32919_at," Cluster Incl AC004010:Human BAC clone GS099H08 /cds=(0,1568) /gb=AC004010 /gi=2781385 /ug=Hs.225652 /len=1569 "
41604_at,Cluster Incl U79297:Human clone 23589 mRNA sequence /cds=UNKNOWN /gb=U79297 /gi=1710280 /ug=Hs.11506 /len=1612
33355_at,Cluster Incl AL049381:Homo sapiens mRNA; cDNA DKFZp586J2118 (from clone DKFZp586J2118) /cds=UNKNOWN /gb=AL049381 /gi=4500168 /ug=Hs.21851 /len=2261
38719_at,N-ethylmaleimide-sensitive factor
37192_at,erythrocyte membrane protein band 4.9 (dematin)
38813_at,tuberous sclerosis 2
37970_at,mitogen-activated protein kinase 8 interacting protein 3
39823_at,H326
36949_at,"casein kinase 1, delta"
32223_at,KIAA0365 gene product
40875_s_at," Cluster Incl X06815:Human mRNA for hU1-70K small nuclear RNP protein (RNP FL1.7) (nonproductive) /cds=(0,651) /gb=X06815 /gi=37530 /ug=Hs.174051 /len=1672 "
40783_s_at,"phosphatidylinositol 4-kinase, catalytic, alpha polypeptide"
38317_at,transcription elongation factor A (SII)-like 1
32752_at," Cluster Incl W72440:zd65e10.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-345546 /clone_end=3'' /gb=W72440 /gi=1382366 /ug=Hs.19561 /len=517'' "
39696_at,KIAA1051 protein
40423_at,KIAA0903 protein
35680_r_at,dipeptidylpeptidase VI
36093_at,KIAA0614 protein
35679_s_at,dipeptidylpeptidase VI
32968_s_at,seizure related gene 6 (mouse)-like
31403_at,"solute carrier family 18 (vesicular monoamine), member 1"
37505_at,"nuclear receptor subfamily 0, group B, member 2"
39729_at,peroxiredoxin 2
36158_at,"dynactin 1 (p150, Glued (Drosophila) homolog)"
40955_at,Cluster Incl U79287:Human clone 23867 mRNA sequence /cds=UNKNOWN /gb=U79287 /gi=1710265 /ug=Hs.19555 /len=1396
41084_at," Cluster Incl AI659108:tu08c09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2250448 /clone_end=3'' /gb=AI659108 /gi=4762678 /ug=Hs.99093 /len=492'' "
41435_at,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3"
33942_s_at,syntaxin binding protein 1
39058_at,active BCR-related gene
32822_at,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"
40093_at,Lutheran blood group (Auberger b antigen included)
35633_at,KIAA0281 gene product
36702_at,T-box 19
162_at,ubiquitin specific protease 11
36152_at,GDP dissociation inhibitor 1
36129_at,KIAA0397 gene product
41338_at," Cluster Incl AI951946:wx39f10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2546059 /clone_end=3'' /gb=AI951946 /gi=5744256 /ug=Hs.244 /len=523'' "
41337_at,amino-terminal enhancer of split
41279_f_at," Cluster Incl AF007134:Homo sapiens clone 23565 unknown mRNA, partial cds /cds=(0,736) /gb=AF007134 /gi=2852608 /ug=Hs.234249 /len=1480 "
38984_at,putative L-type neutral amino acid transporter
40201_at,dopa decarboxylase (aromatic L-amino acid decarboxylase)
32717_at,neuralized (Drosophila)-like
41388_at,Meis (mouse) homolog 2
40421_at,protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1
37182_at,LIM domain only 6
36823_at,RaP2 interacting protein 8
656_at,inositol polyphosphate-1-phosphatase
41524_at,inositol polyphosphate-1-phosphatase
41430_at,WD repeat domain 7
41288_at," Cluster Incl AL036744:DKFZp564I1663_r1 Homo sapiens cDNA, 5 end /clone=DKFZp564I1663 /clone_end=5'' /gb=AL036744 /gi=5927888 /ug=Hs.236327 /len=617'' "
37579_at,p53 inducible protein
34773_at,tubulin-specific chaperone a
40478_at,hypothetical protein
34842_at,small nuclear ribonucleoprotein polypeptide N
469_at,ephrin-B3
35147_at,MCF.2 cell line derived transforming sequence-like
35531_at,ligand of neuronal nitric oxide synthase with carboxyl-terminal PDZ domain
40120_at,hydroxyacyl glutathione hydrolase
34412_s_at,peanut (Drosophila)-like 1
39026_r_at,maternally expressed 3
41325_at,"potassium channel, subfamily K, member 3 (TASK)"
38803_at,Cluster Incl AF052142:Homo sapiens clone 24665 mRNA sequence /cds=UNKNOWN /gb=AF052142 /gi=3360451 /ug=Hs.90063 /len=1486
34847_s_at,calcium/calmodulin-dependent protein kinase (CaM kinase) II beta
38711_at,"KIAA0627 protein; Drosophila ""multiple asters"" (Mast)-like homolog 2"
38982_at,Cluster Incl W28865:53g9 Homo sapiens cDNA /gb=W28865 /gi=1308876 /ug=Hs.109875 /len=926
36160_s_at," Cluster Incl U81561:Human protein tyrosine phosphatase receptor pi (PTPRP) mRNA, complete cds /cds=(42,3038) /gb=U81561 /gi=2351575 /ug=Hs.74624 /len=4699 "
38225_at," Cluster Incl AF052728:Homo sapiens HERG-USO (HERG) mRNA, alternatively spliced, partial cds /cds=(0,284) /gb=AF052728 /gi=3549258 /ug=Hs.165664 /len=767 "
37210_at,"internexin neuronal intermediate filament protein, alpha"
41016_at," Cluster Incl AB007979:Homo sapiens mRNA, chromosome 1 specific transcript KIAA0510 /cds=UNKNOWN /gb=AB007979 /gi=3413954 /ug=Hs.92660 /len=5596 "
37478_at,secretagogin
32652_g_at,Cluster Incl W28770:51d8 Homo sapiens cDNA /gb=W28770 /gi=1308718 /ug=Hs.169330 /len=707
32650_at,Cluster Incl Z78388:HSZ78388 Homo sapiens cDNA /clone=3.53-(CEPH) /gb=Z78388 /gi=1495161 /ug=Hs.169330 /len=725
40272_at,collapsin response mediator protein 1
38174_at,pleckstrin and Sec7 domain protein
40825_at,"microtubule-associated protein, RP/EB family, member 3"
32254_at,Cluster Incl AL050223:Homo sapiens mRNA; cDNA DKFZp586L1323 (from clone DKFZp586L1323) /cds=UNKNOWN /gb=AL050223 /gi=4884465 /ug=Hs.194534 /len=1491
37588_s_at,hypothetical protein 384D8_6
39266_at,Cluster Incl AF070632:Homo sapiens clone 24405 mRNA sequence /cds=UNKNOWN /gb=AF070632 /gi=3283901 /ug=Hs.23729 /len=1398
38032_at,KIAA0736 gene product
36148_at," Cluster Incl U48437:Human amyloid precursor-like protein 1 mRNA, complete cds /cds=(41,1993) /gb=U48437 /gi=1709300 /ug=Hs.74565 /len=2336 "
36095_at,Cluster Incl N99340:IMAGE-20074 Homo sapiens cDNA /clone=IMAGE-20074 /gb=N99340 /gi=1270755 /ug=Hs.7357 /len=1110
36924_r_at,secretogranin II (chromogranin C)
41675_at,KIAA0656 gene product
39178_at,reticulon 1
38484_at,"synaptosomal-associated protein, 25kD"
36750_at,KIAA0318 protein
35622_at,neuronal Shc adaptor homolog
260_at,quinoid dihydropteridine reductase
40808_at,chromogranin A (parathyroid secretory protein 1)
917_g_at,"protein tyrosine phosphatase, receptor type, N"
916_at,"protein tyrosine phosphatase, receptor type, N"
40165_at,cutaneous T-cell lymphoma-associated tumor antigen se20-4
34265_at,"secretory granule, neuroendocrine protein 1 (7B2 protein)"
35592_at,KIAA1087 protein
41792_at,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"
36867_at," Cluster Incl W03846:za60a02.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-296906 /clone_end=5'' /gb=W03846 /gi=1275690 /ug=Hs.7309 /len=500'' "
35742_at,KIAA0430 gene product
185_at,neuro-oncological ventral antigen 1
37406_at,"microtubule-associated protein, RP/EB family, member 2"
35354_at,ribosomal protein L3
1562_g_at,dual specificity phosphatase 8
38146_at,KIAA0535 gene product
41835_at,nucleolar protein 4
40075_at,synaptotagmin 1
35778_at,kinesin family member 5C
310_s_at,microtubule-associated protein tau
38629_at,microtubule-associated protein tau
41289_at," Cluster Incl AA126505:zn86a09.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-565048 /clone_end=3'' /gb=AA126505 /gi=1686153 /ug=Hs.237108 /len=713'' "
36606_at,carboxypeptidase E
33835_at,KIAA0721 protein
34873_at,nebulette
37545_at,Cluster Incl W22110:64F11 Homo sapiens cDNA /clone=(not-directional) /gb=W22110 /gi=1299104 /ug=Hs.7934 /len=668
39864_at,cold inducible RNA-binding protein
36894_at,chromobox homolog 7
34382_at,"doublecortex; lissencephaly, X-linked (doublecortin)"
38396_at,Cluster Incl Y09836:H.sapiens mRNA for 3UTR of unknown protein /cds=UNKNOWN /gb=Y09836 /gi=1743253 /ug=Hs.82503 /len=1420''
2091_at," H23429 /FEATURE= /DEFINITION=H23429 ym52d12.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:52090 3'' similar to SP:WNT4_MOUSE P22724 WNT-4 PROTEIN ;, mRNA sequence "
35669_at,KIAA0633 protein
40916_at,hypothetical protein FLJ10097
38163_at,KIAA0751 gene product
36970_at,KIAA0182 protein
37365_at,"heat shock protein, neuronal DNAJ-like 1"
34730_g_at,trophinin
32886_at,glucagon receptor
32138_at,dynamin 1
37563_at,KIAA0411 gene product
692_s_at,"superoxide dismutase 3, extracellular"
41352_at,"sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)"
38887_r_at,"ras homolog gene family, member I"
38886_i_at,"ras homolog gene family, member I"
35852_at,cryptochrome 2 (photolyase-like)
32252_at,"transthyretin (prealbumin, amyloidosis type I)"
35245_at,"coagulation factor V (proaccelerin, labile factor)"
35668_at,receptor (calcitonin) activity modifying protein 1
33446_at,Cluster Incl W26407:29b8 Homo sapiens cDNA /gb=W26407 /gi=1307106 /ug=Hs.233806 /len=885
33377_at,"vitronectin (serum spreading factor, somatomedin B, complement S-protein)"
33703_f_at,phosphoenolpyruvate carboxykinase 1 (soluble)
33702_f_at,phosphoenolpyruvate carboxykinase 1 (soluble)
40995_at,"neurofilament, light polypeptide (68kD)"
844_at,"protein phosphatase 1, regulatory (inhibitor) subunit 1A"
926_at,metallothionein 1G
32510_at,"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"
38607_at,transmembrane 4 superfamily member 5
41346_at,like-glycosyltransferase
32996_g_at,ASB-4 protein
38465_at,peptidylglycine alpha-amidating monooxygenase
38285_at,"crystallin, mu"
37827_r_at,chromosome 21 open reading frame 5
36394_at,"lymphocyte antigen 6 complex, locus H"
32569_at,"platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit (45kD)"
33340_at,KIAA0438 gene product
36948_at,chromosome 15 open reading frame 3
35767_at," Cluster Incl AI565760:tn20b01.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2168137 /clone_end=3'' /gb=AI565760 /gi=4524217 /ug=Hs.6518 /len=844'' "
33443_at,heat shock transcription factor 2
36975_at,Cluster Incl W26659:34d2 Homo sapiens cDNA /gb=W26659 /gi=1307502 /ug=Hs.75927 /len=988
466_at,"general transcription factor II, i"
35450_s_at," Cluster Incl AF015553:Homo sapiens TFII-I protein (TFII-I) mRNA, complete cds /cds=(370,3243) /gb=AF015553 /gi=2415381 /ug=Hs.169921 /len=4407 "
41418_at,lectomedin-2
40986_s_at," Cluster Incl AA058852:zf65a11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-381788 /clone_end=3'' /gb=AA058852 /gi=1551659 /ug=Hs.20621 /len=621'' "
33178_at,jagged 1 (Alagille syndrome)
35414_s_at,jagged 1 (Alagille syndrome)
37490_at," Cluster Incl L27213:Homo sapiens anion exchange protein mRNA, complete cds /cds=(28,2826) /gb=L27213 /gi=1486481 /ug=Hs.1176 /len=3064 "
2053_at,"cadherin 2, type 1, N-cadherin (neuronal)"
198_g_at,"non-metastatic cells 3, protein expressed in"
197_at,"non-metastatic cells 3, protein expressed in"
40193_at,"enolase 2, (gamma, neuronal)"
32591_at," Cluster Incl AI494623:qz17b06.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2021747 /clone_end=3'' /gb=AI494623 /gi=4395626 /ug=Hs.7911 /len=756'' "
40410_at,Cluster Incl W26651:34c5 Homo sapiens cDNA /gb=W26651 /gi=1307494 /ug=Hs.15961 /len=911
39242_at,synaptotagmin 5
40273_at," Cluster Incl AA485440:zx90g03.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-811060 /clone_end=3'' /gb=AA485440 /gi=2214659 /ug=Hs.155402 /len=547'' "
37847_at,PDZ-73 protein
36215_at,"protein kinase, cAMP-dependent, catalytic, beta"
34463_at,deoxyribonuclease I
41209_at,lipoprotein lipase
33244_at,chimerin (chimaerin) 2
32696_at,pre-B-cell leukemia transcription factor 3
41018_at,DKFZP564O243 protein
38849_at,secretory carrier membrane protein 1
37722_s_at,deoxyhypusine synthase
40863_r_at,"creatine kinase, brain"
40862_i_at,"creatine kinase, brain"
37736_at,protein-L-isoaspartate (D-aspartate) O-methyltransferase
355_s_at,FK506-binding protein 1B (12.6 kD)
37529_at,"calcium channel, voltage-dependent, alpha 1H subunit"
38810_at,Cluster Incl AF039241:AF039241 Homo sapiens cDNA /clone=11-67js /gb=AF039241 /gi=2773145 /ug=Hs.9028 /len=3197
32774_at," Cluster Incl AI541050:pec1.2-1.E08.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI541050 /gi=4458423 /ug=Hs.198273 /len=761'' "
37114_at," Cluster Incl L32832:Homo sapiens zinc finger homeodomain protein (ATBF1-A) mRNA, complete cds /cds=(673,11784) /gb=L32832 /gi=976346 /ug=Hs.101842 /len=11893 "
897_at,polycystic kidney disease 1 (autosomal dominant)
40020_at,"cadherin, EGF LAG seven-pass G-type receptor 3, flamingo (Drosophila) homolog"
32574_at,"sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase)"
36211_at,BCL2-like 2
1252_at,"DNA segment, single copy probe LNS-CAI/LNS-CAII (deleted in polyposis"
41423_at,KIAA0726 gene product
32836_at,"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)"
32611_at,prostatic binding protein
41344_s_at,purine-rich element binding protein A
35221_at,Cluster Incl X91648:H.sapiens mRNA for pur alpha extended 3untranslated region /cds=UNKNOWN /gb=X91648 /gi=1495073 /ug=Hs.29117 /len=1671''
38798_s_at," Cluster Incl AI741833:wg29e04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2366526 /clone_end=3'' /gb=AI741833 /gi=5110121 /ug=Hs.8991 /len=658'' "
39050_at,"poly(A)-binding protein, nuclear 1"
38003_s_at,"diacylglycerol kinase, zeta (104kD)"
38398_at,MAP-kinase activating death domain
36165_at," Cluster Incl W51774:zc48b04.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-325519 /clone_end=5'' /gb=W51774 /gi=1349666 /ug=Hs.74649 /len=678'' "
39427_at," Cluster Incl T79616:yd71e06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-113698 /clone_end=3'' /gb=T79616 /gi=698125 /ug=Hs.131255 /len=552'' "
35774_r_at," Cluster Incl AA527880:nh86h10.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-965443 /clone_end=3'' /gb=AA527880 /gi=2269949 /ug=Hs.661 /len=568'' "
38451_at," Cluster Incl T58471:yb61c11.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-75668 /clone_end=5'' /gb=T58471 /gi=660308 /ug=Hs.8372 /len=526'' "
37992_s_at," Cluster Incl AI436567:ti03b09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2129369 /clone_end=3'' /gb=AI436567 /gi=4282731 /ug=Hs.89761 /len=680'' "
31638_at,NADH dehydrogenase (ubiquinone) Fe-S protein 7 (20kD) (NADH-coenzyme Q reductase)
40427_at," Cluster Incl AA149486:zl27g01.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-503184 /clone_end=5'' /gb=AA149486 /gi=1720145 /ug=Hs.16297 /len=460'' "
33352_at,"H2A histone family, member Q"
36261_at,B/K protein
32169_at,F-box only protein 21
38475_at,dynactin 2 (p50)
36996_at,amplified in osteosarcoma
36083_at,sarcoma amplified sequence
41366_at,KIAA1002 protein
39401_at,Cluster Incl W28264:44c9 Homo sapiens cDNA /gb=W28264 /gi=1308212 /ug=Hs.12623 /len=859
564_at,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"
1817_at,prefoldin 5
1420_s_at,"eukaryotic translation initiation factor 4A, isoform 2"
37678_at,putative transmembrane protein
39441_at,LanC (bacterial lantibiotic synthetase component C)-like 1
38800_at,Cluster Incl D45352:HUMHG17416 Homo sapiens cDNA /gb=D45352 /gi=1136676 /ug=Hs.90005 /len=1902
32614_at,KIAA0735 gene product; synaptic vesicle protein 2B homolog
38291_at,proenkephalin
40746_at,"glutamate receptor, ionotropic, AMPA 2"
31918_at,prospero-related homeobox 1
37849_at,slit (Drosophila) homolog 1
34251_at,homeo box B5
40167_s_at,Cluster Incl AF038187:Homo sapiens clone 23714 mRNA sequence /cds=UNKNOWN /gb=AF038187 /gi=2795907 /ug=Hs.136644 /len=1642
36149_at,dihydropyrimidinase-like 3
41637_at,MYLE protein
39160_at,pyruvate dehydrogenase (lipoamide) beta
32079_at,kinesin 13B
40446_at,PHD finger protein 1
36137_at,chromodomain helicase DNA binding protein 4
41069_at,chondromodulin I precursor
32323_at,thyrotropin-releasing hormone
36502_at,PFTAIRE protein kinase 1
31902_at,"deiodinase, iodothyronine, type II"
40954_at," Cluster Incl H94881:yu57f07.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-230245 /clone_end=3'' /gb=H94881 /gi=1102514 /ug=Hs.19520 /len=480'' "
34819_at,"CD164 antigen, sialomucin"
36990_at,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
40275_at," Cluster Incl AL046322:DKFZp434I087_r1 Homo sapiens cDNA, 5 end /clone=DKFZp434I087 /clone_end=5'' /gb=AL046322 /gi=5434403 /ug=Hs.155407 /len=765'' "
36977_at,"N-ethylmaleimide-sensitive factor attachment protein, alpha"
36625_at,peroxisomal long-chain acyl-coA thioesterase ; putative protein
1667_s_at,"cytochrome P450, subfamily IVB, polypeptide 1"
40099_at,rho/rac guanine nucleotide exchange factor (GEF) 2
32971_at,Friedreich ataxia region gene X123
38721_at," Cluster Incl W72733:zd77h11.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-346725 /clone_end=5'' /gb=W72733 /gi=1382768 /ug=Hs.10882 /len=651'' "
36829_at,period (Drosophila) homolog 1
440_at,nuclear factor I/C (CCAAT-binding transcription factor)
33329_at,nuclear factor I/C (CCAAT-binding transcription factor)
519_g_at,"nuclear receptor subfamily 1, group H, member 2"
35675_at,vinexin beta (SH3-containing adaptor molecule-1)
1291_s_at,fibroblast growth factor receptor 4
33327_at,chromosome 11open reading frame 9
41726_at,endothelin converting enzyme 1
35834_at,"alpha-2-glycoprotein 1, zinc"
35858_at," Cluster Incl AA996066:os33d01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1607137 /clone_end=3'' /gb=AA996066 /gi=3182555 /ug=Hs.181975 /len=450'' "
32339_at," Cluster Incl AA844998:ak61e12.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1412398 /clone_end=3'' /gb=AA844998 /gi=2931449 /ug=Hs.184604 /len=433'' "
40919_at,somatostatin receptor 2
37966_at," Cluster Incl AA187563:zp66g11.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-625220 /clone_end=5'' /gb=AA187563 /gi=1773781 /ug=Hs.8836 /len=531'' "
37965_at," Cluster Incl AA181053:zp66g11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-625220 /clone_end=3'' /gb=AA181053 /gi=1764536 /ug=Hs.8836 /len=626'' "
36754_at,adenylate cyclase activating polypeptide 1 (pituitary)
35457_at,cocaine- and amphetamine-regulated transcript
39393_r_at,apolipoprotein H (beta-2-glycoprotein I)
32103_at," Cluster Incl M20786:Human alpha-2-plasmin inhibitor gene /cds=(4,1479) /gb=M20786 /gi=177885 /ug=Hs.159509 /len=2238 "
33764_at,G protein-coupled receptor 51
31685_at,FEV protein
32664_at,"ribonuclease, RNase A family, 4"
33426_at,chromogranin B (secretogranin 1)
33783_at,plexin B1
31844_at,"homogentisate 1,2-dioxygenase (homogentisate oxidase)"
41115_s_at,BAI1-associated protein 3
38063_at,hematopoietic PBX-interacting protein
37015_at,"aldehyde dehydrogenase 1, soluble"
32643_at,"glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)"
484_at," U59302 /FEATURE= /DEFINITION=HSU59302 Human steroid receptor coactivator-1 F-SRC-1 mRNA, complete cds "
34352_at,Cluster Incl AA631698:np79a08.s1 Homo sapiens cDNA /clone=IMAGE-1132502 /gb=AA631698 /gi=2554309 /ug=Hs.3192 /len=640
35736_at,DKFZP586F1918 protein
39711_at,protein kinase C substrate 80K-H
33950_g_at," Cluster Incl AF011406:Homo sapiens corticotropin releasing hormone receptor type 2 beta isoform (CRH2R) mRNA, complete cds /cds=(70,1386) /gb=AF011406 /gi=2738557 /ug=Hs.66578 /len=1600 "
452_at,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
40912_s_at,biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)
33016_at," Cluster Incl AI052224:oz21a02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1675946 /clone_end=3'' /gb=AI052224 /gi=3308215 /ug=Hs.132724 /len=567'' "
1277_at,putative neuroblastoma protein
40489_at,dentatorubral-pallidoluysian atrophy (atrophin-1)
32177_s_at,GTPase activating protein-like
37491_at,"TATA box binding protein (TBP)-associated factor, RNA polymerase II, A, 250kD"
1926_at,vascular endothelial growth factor B
40850_at,FK506-binding protein 8 (38kD)
34478_at,"RAB11B, member RAS oncogene family"
1764_s_at," D85131 /FEATURE= /DEFINITION=D85131 Homo sapiens mRNA for Myc-associated zinc-finger protein of human islet, complete cds "
39537_at,sortilin 1
32988_at,chloride channel Ka
2030_at," N95031 /FEATURE= /DEFINITION=N95031 zb32b01.s1 Soares_parathyroid_tumor_NbHPA Homo sapiens cDNA clone IMAGE:305257 3'' similar to PIR:S34378 S34378 wnt-11 protein - mouse ;contains element MER22 repetitive element ;, mRNA sequence "
1008_f_at,"protein kinase, interferon-inducible double stranded RNA dependent"
1894_f_at,Neurofibromatosis 2 Tumor Suppressor
40888_f_at,Cluster Incl W28170:43a12 Homo sapiens cDNA /gb=W28170 /gi=1308118 /ug=Hs.181165 /len=912
AFFX-HSAC07/X00351_3_st,"actin, beta"
729_i_at," Mucin 3, Intestinal "
32352_at,phenylethanolamine N-methyltransferase
1998_i_at,BCL2-associated X protein
39503_s_at,dihydropyrimidinase-like 4
41825_at,Cluster Incl W26652:34c6 Homo sapiens cDNA /gb=W26652 /gi=1307495 /ug=Hs.6163 /len=912
40100_at,rho/rac guanine nucleotide exchange factor (GEF) 2
34905_at," Cluster Incl AA977136:oq24f02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1587291 /clone_end=3'' /gb=AA977136 /gi=3154582 /ug=Hs.128095 /len=583'' "
33732_at,"adaptor-related protein complex 4, mu 1 subunit"
